model,gru_hidden,loss_name,loss_type,test_target,group,test_ap,test_pr_auc,test_precision_at_100,test_recall_at_100,test_f1_at_100,test_precision_at_500,test_recall_at_500,test_f1_at_500,pos_weight,alpha,gamma
GRU,64,weighted_bce_pw50,weighted_bce,4,G4,0.09239642326845125,0.09208367308264251,0.43,0.06814580031695722,0.11764705882352942,0.162,0.12836767036450078,0.143236074270557,50.0,,
GRU,64,weighted_bce_pw50,weighted_bce,5,G5,0.08714813336741656,0.08673015013140463,0.36,0.0241773002014775,0.04531151667715544,0.244,0.0819341840161182,0.12267471091000504,50.0,,
GRU,64,weighted_bce_pw50,weighted_bce,7,G7,0.5329349299962153,0.5328316882872868,0.92,0.028535980148883373,0.05535499398315283,0.808,0.12531017369727046,0.21697099892588614,50.0,,
GRU,64,weighted_bce_pw50,weighted_bce,8,G8,0.5868938986487601,0.5868062278253585,0.87,0.02375102375102375,0.046239702365134194,0.83,0.1132951132951133,0.19937545039634877,50.0,,
GRU,64,weighted_bce_pw60,weighted_bce,4,G4,0.09652073780489802,0.09616497567097598,0.44,0.06973058637083994,0.12038303693570453,0.174,0.13787638668779714,0.15384615384615383,60.0,,
GRU,64,weighted_bce_pw60,weighted_bce,5,G5,0.09924742817476499,0.09860434120512858,0.42,0.028206850235057087,0.05286343612334802,0.284,0.09536601746138348,0.1427853192559075,60.0,,
GRU,64,weighted_bce_pw60,weighted_bce,7,G7,0.5322130831214055,0.5321043181833924,0.9,0.02791563275434243,0.05415162454873647,0.808,0.12531017369727046,0.21697099892588614,60.0,,
GRU,64,weighted_bce_pw60,weighted_bce,8,G8,0.583733782308262,0.5836462143692718,0.87,0.02375102375102375,0.046239702365134194,0.84,0.11466011466011466,0.20177756425654578,60.0,,
GRU,64,focal_a075_g2,focal,4,G4,0.06955703374001843,0.06930800983264274,0.36,0.05705229793977813,0.0984952120383037,0.12,0.09508716323296355,0.10610079575596816,,0.75,2.0
GRU,64,focal_a075_g2,focal,5,G5,0.08354933690601332,0.08310523899453166,0.44,0.029550033579583614,0.0553807426054122,0.228,0.07656145063801209,0.11463046757164405,,0.75,2.0
GRU,64,focal_a075_g2,focal,7,G7,0.4518565634676461,0.45173154926024656,0.91,0.028225806451612902,0.05475330926594464,0.708,0.1098014888337469,0.19011815252416756,,0.75,2.0
